year,month,month_date,tmax,tmin,pet,monthly_precip,n_days,climatic_balance,spei
2019,1,2019-01-15,13.432258064516128,-3.8,53.42049431053006,2.032,31,-51.388494310530064,-0.23884926723773678
2019,2,2019-02-15,15.678571428571429,-1.7178571428571427,67.11027356145564,0.254,28,-66.85627356145564,-0.10914623307589259
2019,3,2019-03-15,20.90967741935484,3.832258064516129,111.96272143453562,15.493999999999998,31,-96.46872143453562,0.915895135901738
2019,4,2019-04-15,25.226666666666667,5.64,151.96121602726885,14.985999999999999,30,-136.97521602726886,1.1694456445259989
2019,5,2019-05-15,27.83225806451613,9.551612903225806,182.4517742538641,2.54,31,-179.9117742538641,0.39555319168489655
2019,6,2019-06-15,34.10333333333333,16.153333333333332,212.21544189471078,54.356,30,-157.85944189471078,1.804906829417178
2019,7,2019-07-15,36.98064516129032,20.170967741935485,224.54796161631882,14.985999999999999,31,-209.56196161631883,-1.4871778821328583
2019,8,2019-08-15,37.00967741935484,20.83225806451613,205.12004040090227,45.72,31,-159.40004040090227,-0.27983167582708246
2019,9,2019-09-15,32.25333333333333,17.363333333333333,149.98884864522486,17.272000000000002,30,-132.71684864522487,-0.006655909806849827
2019,10,2019-10-15,25.064516129032256,7.929032258064516,107.05772041903546,34.544,31,-72.51372041903547,1.072869860792128
2019,11,2019-11-15,18.103333333333335,-0.08000000000000002,66.27101472160925,46.736,30,-19.53501472160925,1.9143406086918189
2019,12,2019-12-15,13.287096774193548,-2.274193548387097,48.55008873128184,8.636000000000001,31,-39.914088731281836,0.290119611224914
2020,1,2020-01-15,14.53225806451613,-3.4193548387096775,56.30891194589006,2.54,31,-53.76891194589006,-0.5199526206695572
2020,2,2020-02-15,15.127586206896552,-1.1517241379310343,64.93961045897014,19.558,29,-45.38161045897014,1.4687755580372026
2020,3,2020-03-15,19.95806451612903,5.574193548387097,104.10016441850414,51.56199999999999,31,-52.538164418504145,1.9391312271715608
2020,4,2020-04-15,25.486666666666668,6.99,151.2493832610987,0,30,-151.2493832610987,-0.3486712994069438
2020,5,2020-05-15,31.835483870967742,11.496774193548386,208.13334462384265,0.7619999999999999,31,-207.37134462384265,-1.3228297889214458
2020,6,2020-06-15,35.346666666666664,16.386666666666667,221.85536507859533,12.191999999999998,30,-209.66336507859532,0.21304344107660067
2020,7,2020-07-15,37.019354838709674,20.22258064516129,224.68034620933608,50.038,31,-174.6423462093361,-0.67363118450412
2020,8,2020-08-15,37.57727272727273,19.73181818181818,214.20700250737224,11.937999999999999,22,-202.26900250737225,-1.565170747587644
2020,9,2020-09-15,NA,NA,NA,NA,NA,NA,NA
2020,10,2020-10-15,NA,NA,NA,NA,NA,NA,NA
2020,11,2020-11-15,21.21875,-0.006250000000000117,75.85789955284962,0,16,-75.85789955284962,-1.5690683448770946
2020,12,2020-12-15,13.522580645161291,-7.009677419354839,50.384228335197825,4.3180000000000005,31,-46.06622833519783,-0.1922699159895898
2021,1,2021-01-15,13.396774193548387,-6.47741935483871,53.92870133774744,1.5239999999999998,31,-52.40470133774744,-0.35225042063151496
2021,2,2021-02-15,17.064285714285713,-2.4464285714285716,72.01387235039743,1.27,28,-70.74387235039744,-0.5575451452792812
2021,3,2021-03-15,19.79032258064516,0.7193548387096773,110.01888167262955,0.7619999999999999,31,-109.25688167262955,0.2830657984270747
2021,4,2021-04-15,24.923333333333332,7.316666666666666,147.05270074191597,5.588,30,-141.46470074191598,0.7160430160460494
2021,5,2021-05-15,30.387096774193548,11.180645161290322,197.7355690351275,0,31,-197.7355690351275,-0.7098146211175227
2021,6,2021-06-15,35.376666666666665,17.813333333333333,217.08922110570646,31.241999999999997,30,-185.84722110570647,1.1671565784839464
2021,7,2021-07-15,32.9258064516129,18.996774193548386,192.88059783679486,85.598,31,-107.28259783679486,1.0684479643325655
2021,8,2021-08-15,33.41612903225806,19.154838709677417,181.72583128872304,46.989999999999995,31,-134.73583128872303,0.32523864146232057
2021,9,2021-09-15,32.09,15.27,155.19181748291936,42.418,30,-112.77381748291936,0.7185725021937902
2021,10,2021-10-15,26.20967741935484,6.719354838709678,114.06979160889342,3.302,31,-110.76779160889342,-0.5342630987995493
2021,11,2021-11-15,21.523333333333333,0.35000000000000003,76.64680685086635,9.398,30,-67.24880685086636,-0.31104001212257965
2021,12,2021-12-15,17.385714285714286,-1.6,59.117619827966124,0,21,-59.117619827966124,-1.6380864707731613
